date,calories,steps,dist,floors,elevation,sedant,active_light,active_fair,active_very,active_cals,sleep_start,sleep_timeInBed,sleep_minutesAsleep,sleep_awakeningsCount,sleep_minutesAwake,sleep_minutesToFallAsleep,sleep_minutesAfterWakeup,sleep_efficiency
2015-05-16,1740,1611,0.68584466688192,2,20.0,813,102,0,0,320,01:49,525,468,23,41,13,3,92
2015-05-17,2624,13539,5.76319916466424,29,290.0,654,262,63,17,1418,02:06,433,400,17,31,0,0,93
2015-05-18,2682,8645,3.68005845719616,23,230.0,633,291,36,10,1455,23:49,476,437,15,24,0,0,95
2015-05-19,2443,6670,2.83931837957248,33,330.0,678,212,32,23,1165,23:55,485,439,23,42,0,0,91
2015-05-20,2502,11586,5.1737913067807195,33,330.0,711,228,11,21,1197,23:45,464,416,26,47,0,0,90
2015-05-21,2457,8381,3.56762755371568,31,310.0,709,231,29,9,1153,23:40,457,416,24,41,0,0,91
2015-05-22,2072,3542,1.50782554821912,8,80.0,810,131,16,11,642,23:35,341,327,3,8,0,0,98
2015-05-23,3523,22275,9.481813704324,156,1560.0,439,283,88,112,2426,02:13,382,358,12,20,0,0,95
2015-05-24,3255,17503,7.45053885025216,38,380.0,460,251,75,97,2061,21:44,617,535,31,66,0,0,89
2015-05-25,2304,5787,2.4635192963628,8,80.0,773,179,25,11,899,22:44,528,485,21,37,0,6,93
2015-05-26,2070,6765,2.87944653115184,21,210.0,844,193,10,0,739,00:59,393,344,20,38,11,0,90
2015-05-27,2185,7065,3.00744899670384,38,380.0,751,187,16,3,864,00:06,442,403,20,37,0,0,92
2015-05-28,2243,7602,3.2360452445287198,18,180.0,729,225,9,2,926,23:19,461,440,8,13,8,0,97
2015-05-29,2158,4984,2.12161601167672,15,150.0,715,198,7,0,798,23:05,557,489,27,65,0,0,88
2015-05-30,2661,12905,5.49338115196208,31,310.0,704,279,41,14,1417,23:42,382,374,4,5,0,0,99
2015-05-31,2761,17580,7.48329132578248,27,270.0,550,313,32,25,1599,23:22,501,456,16,32,0,6,93
2015-06-01,2034,6405,2.72648979852912,22,220.0,787,178,6,4,698,23:03,506,464,23,31,0,2,94
2015-06-02,2234,8019,3.413502643252,22,220.0,739,174,19,18,909,23:44,485,444,24,37,0,3,92
2015-06-03,2214,6806,2.89690084793512,9,90.0,764,217,7,3,892,23:39,470,451,11,14,3,2,97
2015-06-04,2262,7099,3.02190209062976,16,160.0,818,155,36,16,908,00:36,415,385,10,27,3,0,93
2015-06-05,2310,7545,3.2117744857692,24,240.0,661,171,24,23,951,00:12,477,435,18,40,0,0,92
2015-06-06,1881,2989,1.272412858418,10,100.0,679,142,0,0,501,22:36,579,534,24,41,4,0,93
2015-06-07,2422,4673,1.98930123005224,17,170.0,724,238,35,3,1121,00:30,350,317,17,25,0,0,93
2015-06-08,2406,5962,2.53798442001208,28,280.0,702,211,35,14,1088,22:30,500,466,22,28,0,0,94
2015-06-09,2167,6810,2.8989140905972,27,270.0,775,205,0,0,831,22:52,492,434,22,49,0,0,90
2015-06-10,2283,7658,3.273383439456,13,130.0,781,190,11,23,960,23:24,471,427,24,42,0,0,91
2015-06-11,2149,6043,2.57243945260848,22,220.0,778,185,10,2,794,00:17,465,393,25,62,0,7,86
2015-06-12,2216,7411,3.1547077554959198,17,170.0,730,224,7,2,916,00:15,473,436,20,35,0,0,93
2015-06-13,4375,35887,15.275789384128,461,4610.0,405,201,179,244,3437,23:56,369,339,18,26,0,2,93
2015-06-14,1836,2408,1.02508226915432,2,20.0,730,122,0,0,421,23:14,547,505,16,33,0,1,94
2015-06-15,2200,8207,3.4935352527816,12,120.0,776,170,17,19,862,23:38,480,420,22,45,14,1,90
2015-06-16,2089,6669,2.83885235117848,27,270.0,835,182,4,8,749,00:15,402,362,11,27,0,1,93
2015-06-17,2166,5533,2.35535099925944,24,240.0,767,174,21,6,827,23:51,462,412,20,46,0,1,90
2015-06-18,2125,6803,2.89588179918024,24,240.0,760,163,1,15,744,23:41,480,419,25,45,0,0,90
2015-06-19,1956,3602,1.5333266219388,15,150.0,733,142,0,0,531,23:20,495,445,23,42,0,0,91
2015-06-20,2226,4782,2.03540697249864,11,110.0,662,231,12,0,903,00:12,535,509,10,24,0,0,95
2015-06-21,2274,4625,1.9688767589712,14,140.0,686,226,17,0,969,00:52,482,436,16,38,0,3,92
2015-06-22,2362,9092,3.8702726064912,23,230.0,754,184,9,44,1034,23:31,477,415,27,52,0,5,89
,2362,9092,3.8702726064912,23,230.0,754,184,9,44,1034,23:31,477,415,27,52,0,5,89
,2065,5474,2.33022274825496,18,180.0,689,202,5,4,797,23:59,468,436,15,26,6,0,94
2015-06-23,2188,5759,2.4515579009168,20,200.0,720,221,5,4,860,23:59,468,436,15,26,0,0,94
2015-06-24,2165,5738,2.442610155752,21,210.0,837,183,8,5,763,23:37,424,370,19,44,0,0,89
2015-06-25,2144,5751,2.4481155045131198,31,310.0,740,195,0,0,731,23:54,356,332,17,22,0,0,94
2015-06-26,2418,10842,4.61523452858,14,140.0,764,201,36,29,1126,23:21,449,397,23,41,10,1,91
2015-06-27,2251,9219,3.9243319001952,7,70.0,881,198,18,18,939,01:10,325,296,12,20,9,0,94
,2251,9219,3.9243319001952,7,70.0,881,198,18,18,939,01:10,325,296,12,20,9,0,94
,909,18,0.00766150679736,0,0.0,406,2,0,0,5,00:14,470,427,15,34,7,2,93
,2251,9219,3.9243319001952,7,70.0,881,198,18,18,939,01:10,325,296,12,20,9,0,94
,911,18,0.00766150679736,0,0.0,407,2,0,0,5,00:14,470,427,15,34,7,2,93
,2251,9219,3.9243319001952,7,70.0,881,198,18,18,939,01:10,325,296,12,20,9,0,94
,912,18,0.00766150679736,0,0.0,408,2,0,0,5,00:14,470,427,15,34,7,2,93
,2251,9219,3.9243319001952,7,70.0,881,198,18,18,939,01:10,325,296,12,20,9,0,94
,918,18,0.00766150679736,0,0.0,414,2,0,0,5,00:14,470,427,15,34,7,2,93
